Time(s),RelAlt(m),Compass_Hdg(deg),EKF_X,EKF_Y,EKF_Z,ZED_X,ZED_Y,ZED_Z,IMU_AccX,IMU_AccY,IMU_AccZ
1787035557.24,-0.00,273.80,0.54,-0.10,-0.01,-0.21,-0.06,-0.02,0.76,-0.58,9.53
1787035557.34,-0.01,279.02,0.54,-0.11,-0.01,-0.22,-0.06,-0.02,0.39,-0.38,9.78
1787035557.44,-0.01,279.02,0.54,-0.11,-0.01,-0.05,-0.04,0.01,0.39,-0.38,9.78
1787035557.54,-0.01,279.02,0.54,-0.11,-0.01,0.29,0.02,0.00,0.39,-0.38,9.78
1787035557.64,-0.01,282.93,0.53,-0.14,-0.01,0.29,0.02,0.00,0.39,-0.38,9.78
1787035557.74,-0.01,282.93,0.53,-0.14,-0.01,0.29,0.02,0.00,0.39,-0.38,9.78
1787035557.84,-0.01,286.30,0.52,-0.16,0.00,0.29,0.02,0.00,0.35,0.00,9.92
1787035557.94,-0.01,286.30,0.52,-0.16,0.00,0.29,0.02,0.00,0.35,0.00,9.92
1787035558.04,-0.01,286.30,0.52,-0.16,0.00,0.26,0.00,-0.02,0.35,0.00,9.92
1787035558.14,-0.01,291.45,0.51,-0.19,-0.00,0.25,-0.00,-0.02,0.87,0.35,9.16
1787035558.24,-0.01,291.45,0.51,-0.19,-0.00,0.24,0.02,-0.01,0.87,0.35,9.16
1787035558.34,-0.01,296.56,0.50,-0.19,-0.01,0.24,0.08,-0.02,0.55,-0.57,9.02
1787035558.44,-0.01,296.56,0.50,-0.19,-0.01,0.23,0.09,-0.02,0.55,-0.57,9.02
1787035558.54,-0.01,296.56,0.50,-0.19,-0.01,0.21,0.09,-0.02,0.55,-0.57,9.02
1787035558.64,-0.01,298.85,0.49,-0.16,-0.01,0.20,0.09,-0.03,0.41,-0.61,9.31
1787035558.74,-0.01,298.85,0.49,-0.16,-0.01,0.18,0.07,-0.04,0.41,-0.61,9.31
1787035558.84,-0.00,298.36,0.46,-0.12,-0.02,0.18,0.07,-0.04,0.66,-0.81,9.53
1787035558.94,-0.00,298.36,0.46,-0.12,-0.02,0.10,0.06,-0.06,0.66,-0.81,9.53
1787035559.04,-0.00,298.36,0.46,-0.12,-0.02,0.09,0.06,-0.07,0.66,-0.81,9.53
1787035559.14,-0.01,297.80,0.42,-0.08,-0.01,0.13,0.07,-0.07,0.35,-0.21,10.27
1787035559.24,-0.01,297.80,0.42,-0.08,-0.01,0.13,0.07,-0.07,0.35,-0.21,10.27
1787035559.34,-0.01,296.21,0.42,-0.08,-0.01,0.13,0.07,-0.07,0.55,-0.21,9.71
1787035559.44,-0.01,296.21,0.42,-0.08,-0.01,0.13,0.07,-0.07,0.55,-0.21,9.71
1787035559.54,-0.01,296.21,0.42,-0.08,-0.01,0.13,0.06,-0.07,0.55,-0.21,9.71
1787035559.64,-0.01,295.33,0.36,-0.02,0.00,0.12,0.07,-0.08,1.20,-0.20,9.41
1787035559.74,-0.01,295.33,0.36,-0.02,0.00,0.13,0.07,-0.08,1.20,-0.20,9.41
1787035559.84,-0.01,295.71,0.35,0.01,-0.00,0.13,0.07,-0.09,0.79,0.20,9.40
1787035559.94,-0.01,295.71,0.35,0.01,-0.00,0.14,0.07,-0.10,0.79,0.20,9.40
1787035560.04,-0.01,295.71,0.35,0.01,-0.00,0.14,0.07,-0.11,0.79,0.20,9.40
1787035560.14,-0.01,296.00,0.35,0.02,-0.01,0.14,0.07,-0.11,0.62,-0.01,9.37
1787035560.24,-0.01,296.00,0.35,0.02,-0.01,0.14,0.07,-0.11,0.62,-0.01,9.37
1787035560.34,-0.01,295.06,0.37,0.02,-0.01,0.15,0.06,-0.11,-0.06,0.58,9.93
1787035560.44,-0.01,295.06,0.37,0.02,-0.01,0.13,0.07,-0.10,-0.06,0.58,9.93
1787035560.54,-0.01,295.06,0.37,0.02,-0.01,0.09,0.13,-0.07,-0.06,0.58,9.93
1787035560.64,-0.00,297.69,0.39,0.03,0.00,0.09,0.12,-0.07,0.76,0.13,10.00
1787035560.74,-0.00,297.69,0.39,0.03,0.00,0.09,0.12,-0.09,0.76,0.13,10.00
1787035560.84,-0.00,300.86,0.40,0.05,0.00,0.10,0.11,-0.09,0.35,0.15,9.60
1787035560.94,-0.00,300.86,0.40,0.05,0.00,0.10,0.11,-0.11,0.35,0.15,9.60
